"MayoNLab-P011-Anat (40)","288"
"MayoNLab-P102-Taffe (48)","289"
"MayoNLab-P104-student room (8)","290"
"MayoNLab-P105-living (28)","291"
"MayoNLab-P204-VHen (20)","292"
"MayoNLab-Y011-N/Gale (48)","293"
"Mayo-Pool (1000)","294"
"MayoSR-B003-MB (45)","295"
"MayoSR-B027 (17)","296"
"MayoSR-B030 (sr09) (40)","297"
"MayoSR-B120-(sr12) (30)","298"
"MayoSR-B121 (sr10) (60)","299"
"MayoSR-B122- Lang (15)","300"
"MayoSR-G104-(sr8) (60)","301"
"MayoSR-P002-Clear (120)","302"
"MayoSR-P004-Horan (32)","303"
"MayoSR-P005-Healy (29)","304"
"MayoSR-P009-McManus (30)","305"
"MayoSR-P110-Pinel (48)","306"
"MayoSR-P114-OCar (60)","307"
"MayoSR-P201-Erris (20)","308"
"MayoSR-R104-Davitt (80)","309"
"MayoSR-Y002-(sr1) (35)","310"
"MayoSR-Y007-(sr14) (18)","311"
"MayoSR-Y104-(sr16) (30)","312"
"MayoSR-Y106-(sr15) (18)","313"
"MayoSR-Y108-Browne (80)","314"
"MayoSt Marys Hall (25)","315"
"NUIG (20)","316"
"NUIG (20)","317"
